q0,qn,qpof,qdpo,p0,pmin,alpha,beta,resistiance,viscosity,diffusion,R,r ,themal,rotation,growth
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00496
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00532
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00552
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00571
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00592
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00615
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.03,0.00641
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.0038
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00557
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00572
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00584
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00597
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00614
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00635
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.025,0.00661
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00505
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00586
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00591
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00598
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00609
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00625
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.00645
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.0225,0.0067
0.7,3.2,1,4,0,0,0.25,0.78,0.00001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00742
0.7,3.2,1,4,0,0,0.25,0.78,0.00000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.00442
0.7,3.2,1,4,0,0,0.25,0.78,0.000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00237
0.7,3.2,1,4,0,0,0.25,0.78,0.000000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.001295
0.7,3.2,1,4,0,0,0.25,0.78,0.0000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.0006
0.7,3.2,1,4,0.1,0,0.25,0.78,0.00001,0.000025,0.000001,1.65,0.4,0.000025,0,0.005705
0.7,3.2,1,4,0.1,0,0.25,0.78,0.00000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.0036
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00205
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.001075
0.7,3.2,1,4,0.1,0,0.25,0.78,0.0000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00055
0.7,3.2,1,4,0.2,0,0.25,0.78,0.00001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00535
0.7,3.2,1,4,0.2,0,0.25,0.78,0.00000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.00341
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00195
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.00104
0.7,3.2,1,4,0.2,0,0.25,0.78,0.0000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00055
0.7,3.2,1,4,0.6,0,0.25,0.78,0.00001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00539
0.7,3.2,1,4,0.6,0,0.25,0.78,0.00000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.00352
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.0021
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000000316,0.000025,0.000001,1.65,0.4,0.000025,0,0.001205
0.7,3.2,1,4,0.6,0,0.25,0.78,0.0000001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00067
0.7,3.2,1,4,0,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00907
0.7,3.2,1,4,0.1,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00688
0.7,3.2,1,4,0.2,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00644
0.7,3.2,1,4,0.3,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.006245
0.7,3.2,1,4,0.4,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.006155
0.7,3.2,1,4,0.5,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.006125
0.7,3.2,1,4,0.6,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00613
0.7,3.2,1,4,0.7,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00617
0.7,3.2,1,4,0,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00907
0.7,3.2,1,4,0.101,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00695
0.7,3.2,1,4,0.201,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00647
0.7,3.2,1,4,0.301,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00623
0.7,3.2,1,4,0.401,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00608
0.7,3.2,1,4,0.501,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00598
0.7,3.2,1,4,0.601,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.0059
0.7,3.2,1,4,0.701,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.005845
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.000001,0.2,0.00616
0.81,2.7,1,4,0,0,0,0,0.000001,0.000001,0.000001,4,1,0.000001,0.2,0.002378
0.81,2.7,1,4,0,0,0,0,0.0000001,0.000001,0.000001,4,1,0.000001,0.2,0.00073
0.6,2.5,0.78,5,0.2,0.00000001,0.25,0.027,0,0.000001,0.000001,4,1,0.000001,0.2,0.001316
0.6,2.5,0.78,5,0.41,0.00000001,0.25,0.059,0,0.000001,0.000001,4,1,0.000001,0.2,0.004355
0.6,2.5,0.78,5,0.61,0.00000001,0.25,0.0915,0,0.000001,0.000001,4,1,0.000001,0.2,0.006845
0.6,2.5,0.78,5,0.85,0.00000001,0.25,0.135,0,0.000001,0.000001,4,1,0.000001,0.2,0.00798
